40.0786420333;     40.078642033*;     40.07864203**;     40.0786420***;     40.078642****;     40.07864*****;     40.0786******;     40.078*******;     40.07********;     40.0*********;     40.**********;     40***********;     4************;     *************;    **************;   ***************;  ****************; *****************;******************
40.100440978999998;40.10044097899999*;40.1004409789999**;40.100440978999***;40.10044097899****;40.1004409789*****;40.100440978******;40.10044097*******;40.1004409********;40.100440*********;40.10044**********;40.1004***********;40.100************;40.10*************;40.1**************;40.***************;40****************;4*****************;******************
40.113508639999999;40.11350863999999*;40.1135086399999**;40.113508639999***;40.11350863999****;40.1135086399*****;40.113508639******;40.11350863*******;40.1135086********;40.113508*********;40.11350**********;40.1135***********;40.113************;40.11*************;40.1**************;40.***************;40****************;4*****************;******************
40.6438845363;     40.643884536*;     40.64388453**;     40.6438845***;     40.643884****;     40.64388*****;     40.6438******;     40.643*******;     40.64********;     40.6*********;     40.**********;     40***********;     4************;     *************;    **************;   ***************;  ****************; *****************;******************
40.691246867499999;40.69124686749999*;40.6912468674999**;40.691246867499***;40.69124686749****;40.6912468674*****;40.691246867******;40.69124686*******;40.6912468********;40.691246*********;40.69124**********;40.6912***********;40.691************;40.69*************;40.6**************;40.***************;40****************;4*****************;******************
40.7154167554;     40.715416755*;     40.71541675**;     40.7154167***;     40.715416****;     40.71541*****;     40.7154******;     40.715*******;     40.71********;     40.7*********;     40.**********;     40***********;     4************;     *************;    **************;   ***************;  ****************; *****************;******************
40.716460495100002;40.71646049510000*;40.7164604951000**;40.716460495100***;40.71646049510****;40.7164604951*****;40.716460495******;40.71646049*******;40.7164604********;40.716460*********;40.71646**********;40.7164***********;40.716************;40.71*************;40.7**************;40.***************;40****************;4*****************;******************
40.724910334500002;40.72491033450000*;40.7249103345000**;40.724910334500***;40.72491033450****;40.7249103345*****;40.724910334******;40.72491033*******;40.7249103********;40.724910*********;40.72491**********;40.7249***********;40.724************;40.72*************;40.7**************;40.***************;40****************;4*****************;******************
40.7250228232;     40.725022823*;     40.72502282**;     40.7250228***;     40.725022****;     40.72502*****;     40.7250******;     40.725*******;     40.72********;     40.7*********;     40.**********;     40***********;     4************;     *************;    **************;   ***************;  ****************; *****************;******************
40.725821867000001;40.72582186700000*;40.7258218670000**;40.725821867000***;40.72582186700****;40.7258218670*****;40.725821867******;40.72582186*******;40.7258218********;40.725821*********;40.72582**********;40.7258***********;40.725************;40.72*************;40.7**************;40.***************;40****************;4*****************;******************
40.726282769999997;40.72628276999999*;40.7262827699999**;40.726282769999***;40.72628276999****;40.7262827699*****;40.726282769******;40.72628276*******;40.7262827********;40.726282*********;40.72628**********;40.7262***********;40.726************;40.72*************;40.7**************;40.***************;40****************;4*****************;******************
40.726545316699998;40.72654531669999*;40.7265453166999**;40.726545316699***;40.72654531669****;40.7265453166*****;40.726545316******;40.72654531*******;40.7265453********;40.726545*********;40.72654**********;40.7265***********;40.726************;40.72*************;40.7**************;40.***************;40****************;4*****************;******************
40.726609279999998;40.72660927999999*;40.7266092799999**;40.726609279999***;40.72660927999****;40.7266092799*****;40.726609279******;40.72660927*******;40.7266092********;40.726609*********;40.72660**********;40.7266***********;40.726************;40.72*************;40.7**************;40.***************;40****************;4*****************;******************
40.728527124199999;40.72852712419999*;40.7285271241999**;40.728527124199***;40.72852712419****;40.7285271241*****;40.728527124******;40.72852712*******;40.7285271********;40.728527*********;40.72852**********;40.7285***********;40.728************;40.72*************;40.7**************;40.***************;40****************;4*****************;******************
40.728691883300002;40.72869188330000*;40.7286918833000**;40.728691883300***;40.72869188330****;40.7286918833*****;40.728691883******;40.72869188*******;40.7286918********;40.728691*********;40.72869**********;40.7286***********;40.728************;40.72*************;40.7**************;40.***************;40****************;4*****************;******************
40.728958034800002;40.72895803480000*;40.7289580348000**;40.728958034800***;40.72895803480****;40.7289580348*****;40.728958034******;40.72895803*******;40.7289580********;40.728958*********;40.72895**********;40.7289***********;40.728************;40.72*************;40.7**************;40.***************;40****************;4*****************;******************
40.7297133;        40.729713*;        40.72971**;        40.7297***;        40.729****;        40.72*****;        40.7******;        40.*******;        40********;        4*********;        **********;       ***********;      ************;     *************;    **************;   ***************;  ****************; *****************;******************
